epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6137,1.31194,3.25325,1.32428,0.99083,0.08601,0.28754,0.20198,0.97375,inf,1.01369,0.0002375,0.0002375,0.0002375
2,59.3608,0.91676,1.46902,1.07631,0.91982,0.25944,0.61037,0.43796,0.94117,2.09537,1.09506,0.000485087,0.000485087,0.000485087
3,88.6986,0.75879,0.86661,1.01683,0.96629,0.48773,0.72568,0.54993,0.8325,2.17881,1.04232,0.000730199,0.000730199,0.000730199
4,117.751,0.69953,0.71963,0.97555,0.95015,0.34797,0.69082,0.53944,0.81646,2.24634,1.01021,0.000972836,0.000972836,0.000972836
5,146.344,0.67993,0.66799,0.96744,0.84254,0.31816,0.54929,0.40573,0.91998,2.22041,1.08223,0.001213,0.001213,0.001213
6,174.056,0.66978,0.63983,0.96136,0.8454,0.58167,0.72735,0.53449,0.86608,1.62528,1.0583,0.00121906,0.00121906,0.00121906
7,202.619,0.64161,0.59467,0.9493,0.89662,0.788,0.8861,0.68486,0.69214,0.88714,0.94747,0.00121287,0.00121287,0.00121287
8,233.067,0.63196,0.56663,0.94182,0.8901,0.87056,0.91671,0.7086,0.68139,0.72123,0.9574,0.00120669,0.00120669,0.00120669
9,263.838,0.6034,0.52894,0.93676,0.90508,0.84491,0.92298,0.73716,0.63213,0.69459,0.93376,0.0012005,0.0012005,0.0012005
10,293.949,0.60829,0.5239,0.9344,0.91772,0.86439,0.93332,0.74368,0.61998,0.59697,0.92435,0.00119431,0.00119431,0.00119431
11,322.316,0.59628,0.5033,0.93037,0.94209,0.88879,0.94695,0.76995,0.56332,0.49896,0.90336,0.00118812,0.00118812,0.00118812
12,353.083,0.57474,0.48308,0.92413,0.91676,0.87107,0.92725,0.75193,0.5961,0.51006,0.90648,0.00118194,0.00118194,0.00118194
13,381.518,0.57677,0.479,0.92372,0.92094,0.92513,0.95631,0.78014,0.5795,0.45208,0.90334,0.00117575,0.00117575,0.00117575
14,411.127,0.5741,0.46995,0.92249,0.91964,0.86722,0.94296,0.76449,0.59869,0.57918,0.91844,0.00116956,0.00116956,0.00116956
15,438.241,0.55298,0.44798,0.91665,0.92225,0.89966,0.94401,0.76897,0.58011,0.47195,0.92289,0.00116337,0.00116337,0.00116337
16,466.493,0.56268,0.44977,0.92046,0.90299,0.86512,0.92925,0.75961,0.58892,0.54884,0.91661,0.00115719,0.00115719,0.00115719
