epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.7404,1.04032,2.70017,1.20171,0.99902,0.17998,0.67044,0.5267,0.71994,2.73373,0.99915,0.00979592,0.00326531,0.00979592,0.00326531,0.00979592,0.00326531,0.00979592,0.00326531
2,104.169,0.75378,0.98918,1.0117,0.96196,0.54877,0.85903,0.68337,0.69953,1.96656,1.01967,0.0197143,0.00657142,0.0197143,0.00657142,0.0197143,0.00657142,0.0197143,0.00657142
3,152.924,0.76382,0.81357,1.00989,0.84172,0.72656,0.83211,0.62603,0.82758,1.32709,1.09437,0.0295501,0.00985003,0.0295501,0.00985003,0.0295501,0.00985003,0.0295501,0.00985003
4,200.294,0.74697,0.73515,1.01139,0.73841,0.69584,0.76581,0.5283,0.90802,1.19,1.19874,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
5,249.054,0.70086,0.65193,0.996,0.58098,0.48578,0.52961,0.38552,0.98133,1.94438,1.27006,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
6,296.091,0.66993,0.5971,0.98745,0.87313,0.83583,0.89491,0.70348,0.66533,0.72786,0.99601,0.0293812,0.00979375,0.0293812,0.00979375,0.0293812,0.00979375,0.0293812,0.00979375
7,342.759,0.6508,0.56066,0.97826,0.913,0.86621,0.92048,0.74427,0.6604,0.63669,0.99701,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
8,389.414,0.6327,0.52693,0.96886,0.91674,0.88639,0.9397,0.77024,0.64048,0.56925,0.96943,0.0291337,0.00971125,0.0291337,0.00971125,0.0291337,0.00971125,0.0291337,0.00971125
9,435.392,0.61489,0.49983,0.9611,0.87033,0.82425,0.88998,0.70982,0.6927,0.72579,1.01589,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
10,481.502,0.59644,0.48114,0.95508,0.85411,0.79335,0.87507,0.69593,0.64609,0.73609,0.97377,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
11,527.557,0.58929,0.46655,0.95103,0.9116,0.87971,0.93032,0.7685,0.59719,0.49818,0.95767,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
12,573.278,0.57552,0.44907,0.94683,0.94258,0.91462,0.95799,0.81418,0.529,0.44824,0.91894,0.0286388,0.00954625,0.0286388,0.00954625,0.0286388,0.00954625,0.0286388,0.00954625
13,620.33,0.56937,0.43906,0.94516,0.92538,0.90515,0.94845,0.80074,0.54043,0.45,0.93377,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
14,666.457,0.55086,0.42592,0.93655,0.93342,0.89632,0.94751,0.79588,0.55744,0.45986,0.94266,0.0283912,0.00946375,0.0283912,0.00946375,0.0283912,0.00946375,0.0283912,0.00946375
15,712.605,0.5465,0.41558,0.9342,0.94343,0.93276,0.96632,0.82876,0.50763,0.39502,0.91045,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
16,759.038,0.53887,0.41049,0.9302,0.94939,0.91085,0.95845,0.81427,0.52206,0.42682,0.91421,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
17,804.834,0.53628,0.40292,0.93268,0.93799,0.93116,0.95924,0.8266,0.51933,0.44317,0.92206,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
18,850.629,0.53407,0.40278,0.92966,0.94544,0.91826,0.96179,0.82908,0.5061,0.41647,0.91042,0.0278963,0.00929875,0.0278963,0.00929875,0.0278963,0.00929875,0.0278963,0.00929875
19,897.332,0.52606,0.39427,0.92769,0.91856,0.91589,0.95705,0.81433,0.5342,0.45152,0.9232,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
20,943.433,0.52361,0.3896,0.92317,0.95472,0.87865,0.94591,0.80878,0.53215,0.4704,0.92643,0.0276487,0.00921625,0.0276487,0.00921625,0.0276487,0.00921625,0.0276487,0.00921625
21,990.062,0.51866,0.38658,0.92483,0.93604,0.9161,0.96466,0.83749,0.48184,0.42674,0.89239,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
22,1037,0.51488,0.37769,0.92117,0.94965,0.93192,0.96653,0.83839,0.48364,0.36465,0.90195,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
23,1083.06,0.5055,0.37204,0.91645,0.94377,0.93059,0.9633,0.8363,0.47967,0.36265,0.90635,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
24,1129.14,0.50706,0.37453,0.91995,0.9464,0.93217,0.96948,0.84455,0.47156,0.36883,0.90078,0.0271537,0.00905125,0.0271537,0.00905125,0.0271537,0.00905125,0.0271537,0.00905125
25,1175.74,0.5026,0.37029,0.91705,0.95781,0.9264,0.97029,0.84932,0.46462,0.35047,0.882,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
