epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,120.159,0.11415,0.99286,1,0.02475,0.000328571,0.000328571,0.0674714
2,244.446,0.04569,0.99732,1,0.01243,0.000655352,0.000655352,0.0344649
3,364.9,0.04695,0.99197,1,0.04422,0.000975532,0.000975532,0.00145172
4,484.875,0.05426,0.99822,1,0.0153,0.0009703,0.0009703,0.0009703
5,603.755,0.04388,0.99732,1,0.01251,0.0009604,0.0009604,0.0009604
6,719.849,0.04733,0.99554,1,0.01603,0.0009505,0.0009505,0.0009505
7,829.346,0.04248,0.99197,1,0.02282,0.0009406,0.0009406,0.0009406
8,938.496,0.05366,0.99376,1,0.02583,0.0009307,0.0009307,0.0009307
9,1047.98,0.04807,0.99465,1,0.01623,0.0009208,0.0009208,0.0009208
10,1156.83,0.04921,0.99376,1,0.02141,0.0009109,0.0009109,0.0009109
11,1265.62,0.04948,0.99732,1,0.01428,0.000901,0.000901,0.000901
12,1373.65,0.041,0.99108,1,0.03759,0.0008911,0.0008911,0.0008911
13,1482.48,0.04479,0.99465,1,0.01516,0.0008812,0.0008812,0.0008812
14,1593.41,0.0521,0.99554,1,0.01545,0.0008713,0.0008713,0.0008713
15,1703.38,0.04718,0.99108,1,0.03346,0.0008614,0.0008614,0.0008614
16,1813.03,0.04242,0.99286,1,0.03358,0.0008515,0.0008515,0.0008515
17,1921.37,0.04597,0.99465,1,0.02193,0.0008416,0.0008416,0.0008416
18,2031.12,0.04003,0.99286,1,0.02466,0.0008317,0.0008317,0.0008317
19,2139.97,0.04133,0.98751,1,0.05668,0.0008218,0.0008218,0.0008218
20,2250.47,0.04609,0.99019,1,0.03778,0.0008119,0.0008119,0.0008119
21,2358.88,0.04601,0.99286,1,0.01945,0.000802,0.000802,0.000802
22,2467.08,0.04004,0.99376,1,0.0167,0.0007921,0.0007921,0.0007921
23,2576.14,0.04457,0.98483,1,0.08097,0.0007822,0.0007822,0.0007822
24,2685.37,0.04153,0.99554,1,0.01425,0.0007723,0.0007723,0.0007723
