epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,43.3214,0.13506,0.98453,1,0.04015,0.000323232,0.000323232,0.068
2,81.8068,0.05318,0.99323,1,0.02144,0.000650066,0.000650066,0.0349935
3,121.66,0.0368,0.99323,1,0.02117,0.000970299,0.000970299,0.0019804
4,161.51,0.04137,0.99226,1,0.0228,0.0009703,0.0009703,0.0009703
5,200.39,0.0297,0.99226,1,0.02149,0.0009604,0.0009604,0.0009604
6,240.362,0.03368,0.99033,1,0.02072,0.0009505,0.0009505,0.0009505
7,280.617,0.03693,0.9942,1,0.02092,0.0009406,0.0009406,0.0009406
8,318.353,0.04521,0.9913,1,0.05325,0.0009307,0.0009307,0.0009307
9,359.037,0.04235,0.99323,1,0.09258,0.0009208,0.0009208,0.0009208
10,399.411,0.04408,0.9942,1,0.0242,0.0009109,0.0009109,0.0009109
11,438.583,0.04339,0.99226,1,0.05933,0.000901,0.000901,0.000901
12,477.245,0.03395,0.98936,1,0.02156,0.0008911,0.0008911,0.0008911
13,518.628,0.04443,0.97969,1,0.10459,0.0008812,0.0008812,0.0008812
14,558.275,0.03526,0.99226,1,0.01735,0.0008713,0.0008713,0.0008713
15,596.544,0.03819,0.99323,1,0.0191,0.0008614,0.0008614,0.0008614
16,636.288,0.03177,0.98839,1,0.04622,0.0008515,0.0008515,0.0008515
17,674.745,0.03679,0.99323,1,0.01602,0.0008416,0.0008416,0.0008416
18,714.205,0.03527,0.9942,1,0.02374,0.0008317,0.0008317,0.0008317
19,755.131,0.03624,0.9942,1,0.01656,0.0008218,0.0008218,0.0008218
20,795.392,0.03986,0.98743,1,0.02849,0.0008119,0.0008119,0.0008119
21,834.539,0.03634,0.99323,1,0.01779,0.000802,0.000802,0.000802
22,874.18,0.02777,0.99323,1,0.0208,0.0007921,0.0007921,0.0007921
23,915.298,0.03618,0.98646,1,0.02982,0.0007822,0.0007822,0.0007822
24,954.529,0.02433,0.99226,1,0.02019,0.0007723,0.0007723,0.0007723
25,995.175,0.027,0.9913,1,0.01973,0.0007624,0.0007624,0.0007624
26,1034.44,0.03655,0.9942,1,0.02959,0.0007525,0.0007525,0.0007525
27,1074.54,0.02812,0.99613,1,0.01038,0.0007426,0.0007426,0.0007426
28,1116.66,0.03447,0.99226,1,0.02209,0.0007327,0.0007327,0.0007327
29,1158.79,0.0422,0.99323,1,0.06051,0.0007228,0.0007228,0.0007228
30,1199.1,0.03807,0.9942,1,0.02295,0.0007129,0.0007129,0.0007129
31,1239.55,0.03845,0.9913,1,0.02619,0.000703,0.000703,0.000703
32,1280.8,0.03874,0.99323,1,0.01928,0.0006931,0.0006931,0.0006931
33,1322.26,0.03405,0.98839,1,0.05661,0.0006832,0.0006832,0.0006832
34,1362.02,0.02916,0.9942,1,0.01743,0.0006733,0.0006733,0.0006733
35,1403.88,0.03666,0.98549,1,0.03349,0.0006634,0.0006634,0.0006634
36,1445.83,0.03536,0.99033,1,0.02112,0.0006535,0.0006535,0.0006535
37,1488.08,0.03048,0.9942,1,0.01637,0.0006436,0.0006436,0.0006436
38,1527.75,0.03191,0.99033,1,0.02738,0.0006337,0.0006337,0.0006337
39,1569.23,0.03658,0.9942,1,0.01789,0.0006238,0.0006238,0.0006238
40,1611.45,0.03017,0.9913,1,0.02265,0.0006139,0.0006139,0.0006139
41,1653.87,0.02683,0.9942,1,0.01658,0.000604,0.000604,0.000604
42,1694.87,0.03142,0.99033,1,0.02522,0.0005941,0.0005941,0.0005941
43,1734.34,0.03157,0.99323,1,0.02333,0.0005842,0.0005842,0.0005842
44,1776.04,0.03607,0.99033,1,0.02216,0.0005743,0.0005743,0.0005743
45,1817.9,0.03663,0.9942,1,0.02266,0.0005644,0.0005644,0.0005644
46,1856.97,0.02648,0.99323,1,0.01544,0.0005545,0.0005545,0.0005545
47,1897.89,0.03505,0.99033,1,0.03401,0.0005446,0.0005446,0.0005446
48,1940.76,0.02905,0.99323,1,0.02061,0.0005347,0.0005347,0.0005347
49,1985.77,0.03204,0.98356,1,0.04144,0.0005248,0.0005248,0.0005248
50,2030.43,0.03852,0.9913,1,0.02156,0.0005149,0.0005149,0.0005149
51,2073.88,0.02752,0.9942,1,0.01821,0.000505,0.000505,0.000505
52,2117.49,0.02824,0.9913,1,0.02085,0.0004951,0.0004951,0.0004951
53,2160.96,0.03058,0.99033,1,0.02816,0.0004852,0.0004852,0.0004852
54,2203.92,0.03424,0.9942,1,0.02392,0.0004753,0.0004753,0.0004753
55,2247.55,0.02605,0.99323,1,0.01676,0.0004654,0.0004654,0.0004654
56,2289.71,0.02372,0.9942,1,0.01645,0.0004555,0.0004555,0.0004555
57,2332.17,0.02593,0.99323,1,0.01681,0.0004456,0.0004456,0.0004456
58,2374.12,0.03059,0.99226,1,0.01766,0.0004357,0.0004357,0.0004357
59,2417.43,0.03032,0.9942,1,0.01456,0.0004258,0.0004258,0.0004258
60,2460.15,0.02595,0.9942,1,0.01906,0.0004159,0.0004159,0.0004159
61,2501.73,0.0271,0.9942,1,0.01529,0.000406,0.000406,0.000406
62,2541.33,0.0277,0.9942,1,0.0213,0.0003961,0.0003961,0.0003961
63,2582.45,0.02181,0.9942,1,0.0282,0.0003862,0.0003862,0.0003862
64,2620.71,0.02985,0.9942,1,0.01539,0.0003763,0.0003763,0.0003763
65,2662.36,0.03213,0.9942,1,0.02084,0.0003664,0.0003664,0.0003664
66,2703.32,0.03005,0.98549,1,0.05443,0.0003565,0.0003565,0.0003565
67,2743.51,0.02733,0.9913,1,0.02292,0.0003466,0.0003466,0.0003466
68,2784.96,0.02711,0.99323,1,0.01771,0.0003367,0.0003367,0.0003367
69,2825.25,0.02612,0.9942,1,0.01569,0.0003268,0.0003268,0.0003268
70,2866.29,0.02802,0.99323,1,0.02364,0.0003169,0.0003169,0.0003169
71,2907.11,0.03053,0.99323,1,0.01475,0.000307,0.000307,0.000307
72,2947.76,0.02407,0.99323,1,0.01869,0.0002971,0.0002971,0.0002971
73,2990.12,0.02951,0.99323,1,0.01747,0.0002872,0.0002872,0.0002872
74,3030,0.01925,0.9942,1,0.01534,0.0002773,0.0002773,0.0002773
75,3071.15,0.02221,0.9942,1,0.01718,0.0002674,0.0002674,0.0002674
76,3111.74,0.02175,0.9942,1,0.01475,0.0002575,0.0002575,0.0002575
77,3152.47,0.02682,0.9942,1,0.01598,0.0002476,0.0002476,0.0002476
78,3190.93,0.02306,0.9942,1,0.0162,0.0002377,0.0002377,0.0002377
79,3232.12,0.02091,0.9942,1,0.01822,0.0002278,0.0002278,0.0002278
80,3272.84,0.01711,0.9942,1,0.01178,0.0002179,0.0002179,0.0002179
81,3313.73,0.01943,0.9942,1,0.02227,0.000208,0.000208,0.000208
82,3353.04,0.02556,0.9942,1,0.01445,0.0001981,0.0001981,0.0001981
83,3392.66,0.01992,0.9942,1,0.01481,0.0001882,0.0001882,0.0001882
84,3433.02,0.01669,0.9942,1,0.01685,0.0001783,0.0001783,0.0001783
85,3473.72,0.02097,0.99323,1,0.01888,0.0001684,0.0001684,0.0001684
86,3512.54,0.02171,0.99226,1,0.03489,0.0001585,0.0001585,0.0001585
87,3553.01,0.01786,0.99323,1,0.05215,0.0001486,0.0001486,0.0001486
88,3594,0.02173,0.9942,1,0.01546,0.0001387,0.0001387,0.0001387
89,3634.91,0.0215,0.9942,1,0.01288,0.0001288,0.0001288,0.0001288
90,3674.38,0.01863,0.9942,1,0.01491,0.0001189,0.0001189,0.0001189
91,3717.03,0.01676,0.9942,1,0.01646,0.000109,0.000109,0.000109
92,3757.91,0.01757,0.9942,1,0.01662,9.91e-05,9.91e-05,9.91e-05
93,3798.71,0.02105,0.99323,1,0.01618,8.92e-05,8.92e-05,8.92e-05
94,3841.83,0.01492,0.9942,1,0.02287,7.93e-05,7.93e-05,7.93e-05
95,3883.57,0.01609,0.9942,1,0.01625,6.94e-05,6.94e-05,6.94e-05
96,3923.87,0.0185,0.9942,1,0.01557,5.95e-05,5.95e-05,5.95e-05
97,3962.62,0.01956,0.9942,1,0.02013,4.96e-05,4.96e-05,4.96e-05
